ID,RED,IR,RED 4xS,IR 4xS
,228311,241373,,
,227990,240832,,
,227640,240264,,
,227541,239911,,
,227333,239816,,
,227189,239697,,
,227163,239608,,
,227252,239657,,
,227298,239844,,
,227258,239757,,
,227284,239637,,
,227359,239870,,
,227471,240085,,
,227557,240194,,
,227523,240293,,
,227673,240352,,
,227765,240514,,
,227893,240567,,
,228003,240778,,
,228056,240833,,
,228011,240914,,
,227949,240960,,
,228015,240969,,
,228163,240953,,
,228118,241005,,
,228200,241166,,
,228346,241249,,
,228347,241385,,
,228375,241480,,
,228134,241190,,
,227928,240827,,
,227633,240177,,
,227591,240121,,
,227459,240130,,
,227389,239933,,
,227147,239871,,
,227245,239801,,
,227401,239981,,
,227601,240204,,
,227644,240356,,
,227553,240269,,
,227459,240169,,
